ID,reviewer,content,date_time,rate
0,Lew Lew,"MB cái gì cũng được, trừ cái otp ngu ngốc, mỗi lần đổi điên thoại là k rút được, k chuyển được, phải bắt tìm cái đt cũ để quét qr, chưa thấy ngân hàng nào phiền phức vậy",18-07-21 18:34,3
1,Đạt Nguyễn Js,Giới thiệu rồi có thông báo rồi mà ko nhận đc tiền,14-07-21 18:08,1
2,ha duc,App đòi quản lý nhiều quá,13-07-21 8:49,1
3,Thịnh Hà,Chẳng nhận được 30k và 1k điểm khi được giới thiệu tạo tài khoảng...,11-11-21 18:56,4
4,Deee Yuuu,tốt,22-06-21 18:31,5
5,Nguyễn Đan,Quá tệ tk có tiền mà nạp điện thoại không đc cứ báo máy mới reset nên k cho nhạp mã otp nên phải làm sao,23-07-21 21:21,1
6,Tâm Quang,App như c. Toàn bị fake số điện thoại. Tôi có 2 số thì cả 2 bị thằng nào lấy fake rồi giờ ko đk đc.,10-04-21 16:43,1
7,Lin coln,Ứng dụng rất tốt cho *****,11-09-21 21:49,5
8,Văn Cốc Nguyễn,Nhánh chóng thuân tiền thoải mái không gò bo ức. Che/,27-11-21 9:14,5
9,Thắng Mai,Chỉ muốn nói là chánnn...nnnnnn,16-11-21 14:59,1
10,Ngọc Dung,Cứ bị lỗi,01-12-21 8:01,1
11,Lâm Hữu Nhịn,Ứng dụng này điên thật chứ Toàn báo không phải người thật Mẹ ngu mà còn đòi làm bảo mật à,22-08-21 20:26,1
12,công mèo,quá tệ,18-10-21 20:14,5
13,Kien Nguyen,Quá là ok luôn,18-05-21 19:44,5
14,hai langhong,Tốt,17-05-21 5:50,4
15,tri tran minh,tốt,03-10-21 12:04,5
16,Ngọc My Nhung,Như cc,16-11-21 15:47,1
17,Tị Võ,Rất tốt,18-05-21 9:41,4
18,Văn per,Đăng kí tk xong r mà không đăng nhập được 🙂 Kiểu này để khóa sim người dùng hay gì,05-04-21 19:06,1
19,Chuyen Dam,App như con cakk rác vl chưa thấy app nào rác như này,19-11-21 11:08,1
20,air online,app nặng hơn so với các bank khác,27-03-21 22:10,5
21,trịnh thin,Ok,29-03-21 6:49,5
22,Vũ Vũ Văn,"Móa nó, chuyển tiền vào tk xong éo chuyển ra đc, do app lỗi liên tục",16-11-21 12:26,1
23,snipper saigon,Good,24-10-21 17:23,5
24,Linh Linh,Ứng dụng rất ngu tặng 1 sao,28-05-21 19:51,1
25,K D,"Đăng ký digital trên chính máy của mình, thiết bị đã đăng ký cũng là tên đt mình , thế mà bảo đăng ký trên thiết bị khác , chưa đăng ký ccmmmmm",04-06-21 11:59,1
26,khue bui,tốt,10-09-21 15:24,5
27,Hà Ngọc,Ứng dụng này rất tốt,14-12-21 11:55,5
28,Tổng hợp Tiktok,Không nhận đc 30k,23-08-21 21:45,5
29,Tran Quang Dat,Truy xuất stk người đã chuyển cho mình thì ko được.,29-11-21 16:25,2
30,Loc Luu,Quá tệ,26-11-21 3:12,1
31,đỗ trình,Uk,08-04-21 18:50,5
32,Hà Anh Nguyễn,Lỗi ứng dụng lâu thật sự mãi k vào được,16-11-21 17:12,1
33,38. Thanh Tiến. 12a10,Tạo xong lát vô bị khóa tk Ko hiểu kiểu gì,18-04-21 20:25,1
34,Ly Chu,Aap đểu,02-05-21 11:46,1
35,Phạm Hòa,Ổn. Đôi lúc hơi treo,11-06-21 16:44,3
36,Dieu Dinh,Báo cập nhật phiên bản mới mà có thấy phiên bản nào mới đâu,16-11-21 15:19,1
37,Long Long,Cái thẻ phi vật lý cứ bị lỗi (414) mà đ bt khắc phục à,11-12-21 9:14,3
38,Anhh Vânn,Ứng dụng rất tốt sẽ giới thiệu cho nhiều ng hơn,01-11-21 10:58,5
39,binh duong quang cao,"Tiện lợi song buồn ơi là buồn vì vào app mấy lần mà không sao load được,cầngiao dịch nhưng không thể. Chẳng lẽ xóa???",29-09-21 5:57,4
40,Hượng Lò Văn,Tốt,19-10-21 22:49,5
41,Hiep Nguyen,App tào lao,28-05-21 14:56,1
42,namthanh bacsy,Ko vào đc,09-06-21 6:10,1
43,Bi Thạch Thị,Rất hài lòng,13-11-21 11:10,5
44,Thị Tâm Nguyễn,buồn vì bấm vô nhận quà hoài mà k dc cứ báo khách hàng k tồn tại. hic,05-10-21 23:37,5
45,Vu Tai,Nên có phần liên kết ví điện tử từ app thì sẽ tiện hơn. Giờ k mấy ai dùng thẻ atm. Mà toàn bắt liên kết bằng đầu thẻ 9704 thì chịu rồi.,13-06-21 6:50,4
46,Ri Ren,"App vừa chậm, vừa lag, đăng nhập r vẫn ko thấy tiền thưởng đâu. Ai biết cách nào xóa tk đi ko?",08-02-21 16:08,1
47,Sơn Nguyễn,"Mong rằng cho phép dùng face id để đăng nhập, còn lại đều tốt.",25-05-21 10:49,5
48,Cool Boy,Cứ báo lỗi hoài,16-11-21 15:23,1
49,Quân Hoàng Ngọc,Ko nên tải mở app lên chắc mất cả thanh xuân,10-08-21 15:07,1
50,Quy Lang,Toàn lỗi dữ liệu không vào dc dù mạng căng đét ?,02-09-21 11:26,1
51,Tuan Le,mỗi lần vào rất lâu .chán,29-07-21 18:22,1
52,Thắng Vũ,Vui,12-07-21 23:31,5
53,Tuyết Đàm,Đăng nhập ko đc :)),11-06-21 7:52,1
54,NpN Nontop- DJ Jac,Chán lắm,22-09-21 9:55,1
55,Kiên Bùi,App load chậm quá chậm .cần khắc phục,11-08-21 21:46,3
56,Adonis .V,good,20-10-21 6:38,5
57,Chung Le Van,Tốt,23-07-21 12:26,5
58,Việt Mai Quốc,Có gói vay online tiền đâu,28-09-21 20:18,1
59,NGỰ Vlog rải Trí,Được,12-09-21 15:00,5
60,Hiếu Nguyễn,Tốt,16-11-21 13:47,5
61,Đại Phạm,Ad khắc phục lại hộ e vs tiền còn ở đó đó,16-11-21 14:05,1
62,Thị Quỳnh Nguyễn,"Chụp cứ kêu loá này loá nọ,ngáo clm r,đừg nên tải nx",21-06-21 11:06,1
63,Nga Thanh,Hữu ích,28-04-21 23:54,5
64,luc vo,Lổi hoài,16-11-21 15:15,1
65,Vanhuan Le,Rất tuyệt vời,23-02-21 13:50,5
66,Nguyễn Đình Hoàng,"Lh nhân viên k giải quyết đc, tổng đài k nghe máy, mail k tl. Ngày mùng 2 tháng 11 tôi có đi in thẻ nhưng máy báo lỗi và tôi đã liên hệ đến đến trung tâm chăm sóc khách hàng gần nhất để hỗ trợ thẻ. Nhưng nhân viên không quyết được vấn đề và yêu cầu tôi chờ. Hôm nay ngày 30 tháng 11 thì tôi nhận được thông báo trừ tài khoản in phí phát hành thẻ. Tôi yêu cầu ngân hàng giải quyết trường hợp của tôi vì tôi chưa hề nhận được thẻ trẻ mà đã bị trừ tiền. Xin cảm ơn",30-11-21 11:21,1
67,Đình Nam Vũ,"Quá chán, ko thể đăng nhập đc",16-11-21 14:53,1
68,Hùng Nguyên,"App lỗi liên tục, những lúc cần dùng gấp thì không vào được, ngân hàng gì mà có cái app mobile cũng k ra gì. Bực thật. Cho 1 sao.",18-08-21 18:39,1
69,Ben TV,App quá tệ cứ báo là mặt không khớp với cccd,08-08-21 18:41,1
70,Tuan Hoang,"Đổi điện thoại xong ko dùng được, yêu cầu đăng ký DOTP nhưng bắt phải dùng dt trước đây để xác nhận mã QR. Nếu mất điện thoại cũ bị hỏng hoặc mất thì làm thế nào. 1 cái app stupid, xóa app luôn đỡ bực mìn.",28-07-21 21:29,1
71,Hồng Viên,Ngân hàng có thể cập nhật thêm hệ thống MB Smartbank k ạ nhà mình ở gần quận Hoàn Kiếm mà k có thấy MB Smartbank nào gần để đi in thẻ và cập nhật lại định vị nữa lỗi định vị,13-11-21 10:26,4
72,Nguyên Trịnh viết,Tốt,26-11-21 3:12,5
73,Thu Anh Hoàng,Tức thực sự,16-11-21 15:16,1
74,Ngọc Đẹp Cao,Dv rất tốt,13-08-21 12:43,5
75,Đông Lý,Lúc cần chuyển tiền thì vào k đc khác phục lỗi đi ạ?,16-11-21 13:07,2
76,hoang long do,ứng dụng đểu,10-03-21 23:34,1
77,Long Nguyễn,Lỗi đơ khi đăng kí k bt bị bao lần r mong nhà phát hành chú ý,17-09-21 18:14,1
78,Micheal Klosen,Ứng dụng hơi lag,13-04-21 9:38,4
